"employee_id","signing_bonus","salary","degree_level","sex","yrs_experience"
144949,1,238000,"Bachelor","F",1
21387,0,248000,"Master","M",3
90566,0,190000,"PhD","F",4
26839,1,223000,"Bachelor","M",2
19746,0,170000,"PhD","F",4
50427,1,182000,"PhD","M",1
81853,0,77000,"Bachelor","F",3
56110,1,360000,"Master","M",2
173360,0,295000,"Bachelor","M",6
94392,0,394000,"Master","M",3
133570,0,260000,"Bachelor","F",3
136398,0,61000,"Master","F",3
55476,1,76000,"Bachelor","M",11
176610,0,92000,"PhD","F",4
55160,1,260000,"Master","F",2
144675,0,262000,"Bachelor","M",1
91088,1,185000,"Master","M",3
106770,0,181000,"Master","M",2
169231,0,162000,"PhD","M",5
25934,1,282000,"Bachelor","M",2
157239,0,322000,"PhD","F",4
16619,0,178000,"Bachelor","M",3
13924,0,86000,"High_School","F",1
161070,1,154000,"High_School","M",1
121293,1,201000,"Bachelor","M",1
45128,1,220000,"Master","F",1
160557,0,219000,"Bachelor","M",2
7118,0,244000,"Master","M",2
120037,0,160000,"Master","M",2
71532,0,252000,"PhD","M",6
158723,0,134000,"PhD","F",1
6670,1,376000,"Bachelor","F",1
43386,1,241000,"PhD","M",4
98047,0,93000,"High_School","M",5
100144,0,160000,"Master","M",2
104432,0,242000,"High_School","F",1
164347,1,297000,"Master","M",4
81227,0,93000,"PhD","M",3
187469,0,145000,"Bachelor","M",5
100883,0,225000,"Bachelor","F",3
86703,0,122000,"Master","M",2
81363,0,208000,"Bachelor","M",3
99414,0,162000,"Bachelor","M",1
92314,1,98000,"Bachelor","F",3
163884,0,232000,"Bachelor","F",1
87379,0,174000,"Bachelor","M",19
46653,1,343000,"PhD","M",4
5282,0,267000,"Bachelor","M",5
40494,0,107000,"PhD","F",2
191083,1,68000,"PhD","M",4
27731,0,321000,"Bachelor","M",3
198910,0,376000,"Master","M",2
65522,0,204000,"Master","M",4
114858,1,278000,"PhD","M",9
10492,0,199000,"Bachelor","M",2
118909,0,165000,"PhD","M",3
159906,0,105000,"Bachelor","M",2
117052,0,337000,"Bachelor","F",3
35357,0,231000,"Master","M",8
27293,0,169000,"Bachelor","M",4
145164,0,292000,"PhD","M",3
175253,0,192000,"Master","M",5
144365,1,243000,"PhD","M",2
43243,0,261000,"Master","F",1
51121,0,110000,"High_School","F",5
4264,0,2e+05,"Master","F",1
165620,0,240000,"Master","M",2
197158,0,88000,"Master","F",3
16708,0,155000,"PhD","M",3
18676,0,277000,"Bachelor","M",1
66023,1,361000,"Bachelor","M",1
174580,1,120000,"PhD","M",3
134816,0,148000,"High_School","F",1
37407,0,387000,"High_School","M",2
177876,0,164000,"Bachelor","M",4
174478,0,182000,"PhD","F",6
104365,1,216000,"PhD","M",3
137130,0,268000,"High_School","M",2
111821,0,290000,"High_School","M",2
113231,0,65000,"Bachelor","M",5
181772,1,99000,"Bachelor","M",9
186649,0,180000,"Bachelor","M",2
69382,1,232000,"High_School","M",4
67522,0,124000,"Master","M",5
46107,0,179000,"Bachelor","M",4
40213,0,163000,"Bachelor","M",4
18489,0,226000,"Bachelor","M",5
101777,1,61000,"PhD","F",1
107224,0,95000,"Bachelor","F",4
134582,1,345000,"Master","M",4
81226,0,76000,"Master","M",1
178457,0,299000,"PhD","F",5
173673,1,93000,"Master","M",4
174959,1,242000,"Bachelor","F",1
70399,1,112000,"Master","F",1
67748,0,328000,"High_School","M",6
180478,0,371000,"High_School","M",1
125339,0,212000,"Master","F",4
147776,0,355000,"Bachelor","M",4
173085,0,347000,"Bachelor","F",4
182765,0,365000,"PhD","M",3
27285,1,260000,"Master","F",5
65379,1,67000,"PhD","M",5
56198,1,228000,"PhD","M",2
115176,1,101000,"Master","F",2
27718,0,78000,"Master","F",3
191778,0,201000,"Bachelor","F",8
196043,0,173000,"PhD","F",5
169319,0,83000,"Bachelor","M",1
185639,1,276000,"Master","M",1
30040,1,99000,"Master","F",2
167986,0,164000,"Bachelor","M",4
133424,1,136000,"Bachelor","M",4
13959,0,129000,"Master","F",5
165794,1,69000,"Bachelor","F",5
110529,0,166000,"Master","F",4
143888,0,88000,"Bachelor","M",5
175358,0,133000,"Master","M",3
57920,1,103000,"Bachelor","F",2
173458,1,287000,"PhD","M",4
142745,0,93000,"High_School","F",1
65782,0,142000,"PhD","M",5
36498,0,377000,"High_School","M",3
151070,0,90000,"Bachelor","M",3
176900,0,253000,"PhD","M",5
4781,0,159000,"High_School","F",2
166653,0,209000,"Bachelor","F",3
146858,1,202000,"PhD","F",1
26109,1,140000,"Bachelor","M",1
75374,1,301000,"PhD","F",6
92990,1,274000,"Bachelor","M",5
34525,0,84000,"PhD","M",6
79698,0,114000,"Bachelor","F",1
181041,0,65000,"Bachelor","F",4
80762,0,269000,"Master","F",2
46456,0,213000,"Bachelor","M",5
8263,0,388000,"PhD","M",7
77946,1,314000,"PhD","M",2
173255,0,75000,"Master","F",8
144110,0,83000,"Master","M",3
28167,1,67000,"PhD","M",4
17790,1,138000,"High_School","M",5
124893,0,287000,"PhD","M",18
181421,0,304000,"Master","M",5
129879,0,154000,"High_School","M",3
171266,0,153000,"Master","M",8
182627,0,324000,"Master","M",2
58658,0,165000,"High_School","M",4
33069,0,178000,"Master","M",4
79524,0,160000,"High_School","F",1
120274,0,146000,"Master","F",2
134728,1,188000,"PhD","M",10
177705,0,248000,"Master","M",5
51802,0,213000,"Master","F",3
97859,0,207000,"PhD","M",6
125642,1,151000,"Bachelor","M",7
129565,0,206000,"PhD","F",2
107509,0,148000,"High_School","M",5
17395,0,213000,"Master","M",21
39491,0,304000,"High_School","M",4
90834,0,293000,"Master","F",13
51571,0,171000,"Master","F",7
98550,0,221000,"Bachelor","M",1
149430,1,132000,"Bachelor","M",4
70563,1,80000,"PhD","M",5
149745,0,104000,"PhD","F",3
134038,1,151000,"High_School","M",3
190330,0,250000,"Master","M",3
192377,1,372000,"PhD","M",3
15070,0,243000,"Master","M",4
129120,1,96000,"Bachelor","M",3
79573,1,79000,"PhD","M",5
13470,1,364000,"Bachelor","M",7
196058,0,149000,"Master","M",13
177166,0,168000,"Bachelor","M",3
173884,0,329000,"PhD","F",2
132810,0,162000,"Bachelor","M",4
111667,0,251000,"Master","M",6
71615,0,85000,"Master","M",4
127089,1,254000,"PhD","M",3
98931,1,259000,"High_School","F",5
159599,0,113000,"Bachelor","F",3
134457,1,209000,"Master","M",4
29536,0,63000,"High_School","F",5
90188,0,70000,"Bachelor","M",4
168861,0,241000,"High_School","M",5
24655,0,233000,"PhD","F",2
95038,1,270000,"High_School","M",7
189119,0,64000,"Master","F",6
52681,0,311000,"High_School","M",2
73434,0,257000,"High_School","F",2
13651,1,396000,"High_School","F",4
157064,0,75000,"Master","M",3
127544,0,231000,"PhD","M",5
196379,1,215000,"Master","M",1
199323,1,278000,"High_School","M",3
187995,0,319000,"Bachelor","M",3
106442,0,216000,"Master","M",2
103923,0,153000,"Bachelor","M",5
199014,1,163000,"High_School","M",1
47123,0,90000,"Master","M",3
1811,0,99000,"Master","M",7
98385,0,97000,"PhD","F",6
48730,0,212000,"PhD","M",8
140284,1,72000,"High_School","F",5
100411,1,239000,"Bachelor","M",3
123696,1,167000,"PhD","F",7
2843,0,63000,"PhD","F",2
43627,0,322000,"Bachelor","M",1
73084,0,115000,"Bachelor","F",1
166458,1,90000,"PhD","F",6
56861,0,73000,"PhD","M",6
118518,0,68000,"High_School","F",4
116797,0,129000,"High_School","F",2
21086,0,79000,"Master","M",4
114505,0,212000,"High_School","M",4
142104,1,383000,"Master","F",8
23438,0,267000,"High_School","F",3
157592,0,104000,"PhD","F",2
3793,1,225000,"Master","M",6
161265,0,139000,"High_School","M",8
82228,1,72000,"Bachelor","M",2
194796,0,128000,"Master","M",2
60130,0,207000,"Bachelor","M",3
53389,1,124000,"Bachelor","M",2
134630,0,196000,"Master","M",4
144335,0,81000,"PhD","M",2
114216,0,65000,"Bachelor","M",7
6880,1,121000,"PhD","M",7
133762,0,81000,"PhD","F",6
99282,0,193000,"Master","M",3
71923,1,333000,"Bachelor","M",6
11724,0,295000,"Bachelor","M",2
76588,0,116000,"Bachelor","F",1
149858,0,287000,"Master","F",2
102768,1,266000,"Bachelor","M",2
174939,1,186000,"Master","M",1
195665,0,244000,"PhD","M",8
77708,0,116000,"Bachelor","F",8
37454,1,77000,"Bachelor","F",5
148578,1,291000,"High_School","M",1
10088,1,282000,"Master","M",1
10922,0,220000,"Master","F",12
111991,0,86000,"Master","F",2
63086,0,247000,"PhD","M",3
188001,0,87000,"Bachelor","F",3
177846,1,128000,"PhD","F",1
162476,1,330000,"PhD","F",33
82649,0,166000,"Bachelor","F",1
52230,1,225000,"Bachelor","F",3
71037,1,391000,"Bachelor","M",5
111149,0,294000,"PhD","M",3
75492,1,308000,"PhD","F",4
139177,1,304000,"Bachelor","M",4
77746,0,343000,"PhD","M",2
114239,0,166000,"Master","M",5
102196,0,237000,"Bachelor","M",3
130051,0,99000,"Master","F",4
192843,1,138000,"Bachelor","F",4
80128,1,186000,"PhD","M",2
39743,1,315000,"PhD","M",1
143116,1,264000,"PhD","M",1
151099,0,219000,"Master","M",3
19888,1,129000,"Master","F",2
157325,0,92000,"Master","M",4
163676,0,150000,"PhD","F",3
158933,0,89000,"Master","M",1
90783,0,191000,"Bachelor","F",5
80035,0,244000,"Master","F",4
6839,0,91000,"High_School","F",4
147238,0,309000,"High_School","M",4
9177,0,215000,"Bachelor","M",6
16567,1,190000,"Bachelor","M",5
169585,1,192000,"PhD","M",5
52085,1,362000,"Bachelor","M",3
81183,0,363000,"Bachelor","F",3
45531,0,155000,"Bachelor","M",2
24534,0,219000,"PhD","M",7
73155,0,91000,"Master","M",3
152377,0,91000,"High_School","F",4
60945,0,67000,"Bachelor","M",2
42655,1,189000,"PhD","M",1
109417,0,72000,"Bachelor","M",1
125534,1,354000,"Bachelor","M",2
115405,0,156000,"High_School","M",2
92548,0,105000,"Master","F",3
7641,0,65000,"PhD","F",6
76806,0,183000,"High_School","F",9
159480,0,233000,"Master","M",6
119838,0,302000,"Master","M",1
10024,1,370000,"Bachelor","M",1
173142,0,84000,"PhD","F",2
56217,0,104000,"Master","F",3
18195,0,73000,"Bachelor","M",5
47309,0,119000,"Bachelor","F",4
171990,0,168000,"High_School","F",7
139515,0,63000,"High_School","M",1
25011,0,321000,"Master","M",2
174909,0,358000,"Master","F",5
92746,0,236000,"Master","F",3
26469,0,133000,"Master","M",2
77092,0,198000,"Bachelor","F",1
53237,0,287000,"PhD","M",1
98265,0,69000,"Master","F",3
539,0,172000,"PhD","F",1
115603,0,149000,"Master","M",1
194078,0,77000,"PhD","M",2
13501,0,178000,"Master","M",2
198586,0,156000,"High_School","M",5
121241,0,72000,"High_School","M",6
179719,1,175000,"Bachelor","F",2
109826,0,240000,"PhD","M",1
97314,0,252000,"High_School","M",2
196317,0,286000,"Master","M",2
167921,0,111000,"PhD","M",4
20199,1,155000,"High_School","F",3
91759,0,87000,"High_School","F",2
36233,1,292000,"Master","M",1
167305,0,136000,"Bachelor","F",1
59987,0,78000,"Master","M",1
3663,0,191000,"Master","F",6
190955,0,213000,"Master","M",1
20135,1,330000,"High_School","F",7
2519,0,196000,"PhD","M",2
105575,0,216000,"Bachelor","M",1
28531,0,90000,"PhD","F",3
170010,0,221000,"Master","F",6
161540,1,209000,"Bachelor","F",2
45415,0,339000,"PhD","M",3
176367,1,286000,"Master","M",27
52658,1,188000,"Bachelor","M",5
131043,0,194000,"Master","M",2
35879,0,262000,"Bachelor","M",8
61003,0,66000,"PhD","M",8
16528,1,193000,"PhD","F",1
16446,0,62000,"Master","M",3
355,0,289000,"High_School","M",8
51537,1,271000,"Bachelor","M",3
102323,0,198000,"PhD","F",3
156563,1,282000,"Master","F",9
111508,1,90000,"PhD","F",8
143027,0,67000,"Master","M",4
66979,0,62000,"Master","F",1
56508,0,162000,"High_School","M",2
90965,0,212000,"Bachelor","F",1
17291,0,188000,"Master","M",6
39494,1,318000,"PhD","M",1
115244,1,316000,"High_School","F",5
84055,0,80000,"PhD","M",1
42270,1,334000,"PhD","M",18
48793,0,259000,"High_School","F",1
9641,1,358000,"High_School","F",5
65433,1,75000,"PhD","M",1
164046,0,197000,"High_School","M",4
74505,0,354000,"Bachelor","M",7
67291,0,246000,"Master","F",3
145087,0,316000,"PhD","F",1
33266,0,304000,"PhD","M",7
26957,1,205000,"High_School","F",4
115779,0,83000,"PhD","F",5
164378,0,188000,"Bachelor","M",7
45477,0,130000,"PhD","M",2
118824,0,395000,"Master","M",5
159377,1,136000,"PhD","M",3
191809,0,168000,"High_School","M",4
139963,0,278000,"High_School","F",3
191856,0,237000,"Bachelor","M",4
155980,0,130000,"PhD","M",2
133032,1,231000,"High_School","M",2
1584,1,317000,"Master","M",2
198624,0,108000,"PhD","M",6
185854,0,246000,"Bachelor","M",5
143705,1,206000,"High_School","M",2
94866,0,141000,"PhD","M",4
17160,1,75000,"High_School","M",3
50685,0,138000,"Bachelor","M",1
6607,1,365000,"Bachelor","M",2
38219,0,73000,"Bachelor","F",4
35374,1,104000,"High_School","M",6
186910,0,293000,"PhD","F",1
51808,0,364000,"PhD","M",4
59696,0,95000,"PhD","F",2
160289,1,129000,"Bachelor","M",7
54689,0,70000,"Bachelor","M",5
68484,0,227000,"Bachelor","M",9
93280,0,157000,"PhD","F",1
154433,1,2e+05,"Bachelor","M",1
167565,0,268000,"Bachelor","M",9
102854,1,296000,"High_School","M",2
19052,1,175000,"Master","M",6
131177,1,86000,"Bachelor","M",4
92916,0,204000,"PhD","M",3
97055,0,151000,"Master","M",6
146070,0,164000,"Bachelor","M",3
163211,1,397000,"Master","M",3
131595,0,276000,"PhD","F",4
40631,1,91000,"PhD","F",3
75262,0,258000,"PhD","M",2
75705,0,93000,"Bachelor","F",2
176912,1,227000,"Bachelor","M",1
8007,0,71000,"Master","M",8
199858,0,274000,"PhD","M",4
35710,1,145000,"Master","F",4
91763,0,217000,"Bachelor","F",2
46601,0,324000,"Master","F",2
4241,0,93000,"Bachelor","M",5
115912,0,197000,"Bachelor","M",1
142588,0,133000,"High_School","M",1
96361,1,245000,"High_School","M",1
150888,0,165000,"Bachelor","M",3
39948,0,280000,"Master","F",1
67719,0,61000,"Master","M",3
98590,1,146000,"Master","M",2
26529,0,95000,"Master","M",2
191495,0,154000,"Master","F",3
112505,0,140000,"Bachelor","M",2
11754,0,167000,"High_School","F",7
139400,0,286000,"Master","F",9
50701,0,71000,"PhD","M",4
17383,0,281000,"PhD","F",2
34051,0,359000,"PhD","F",26
193452,0,162000,"PhD","M",4
83423,1,205000,"Master","M",3
37827,0,75000,"Master","M",1
158490,1,319000,"PhD","F",18
48453,0,217000,"Bachelor","M",1
20576,1,104000,"High_School","F",1
137765,0,159000,"PhD","M",3
31036,0,126000,"PhD","F",7
38821,1,134000,"PhD","M",3
33819,0,221000,"Bachelor","F",1
26859,0,146000,"High_School","F",8
48657,0,91000,"High_School","M",1
127577,1,63000,"PhD","M",8
25202,0,296000,"High_School","F",5
40887,0,160000,"Bachelor","F",6
79237,0,123000,"PhD","M",13
104203,0,134000,"PhD","F",1
32329,0,181000,"PhD","M",2
87878,0,216000,"Bachelor","M",1
20189,0,238000,"High_School","F",3
28159,0,222000,"Master","M",1
20010,0,131000,"PhD","M",4
175788,0,148000,"PhD","F",1
55636,0,65000,"PhD","M",3
101667,0,105000,"Bachelor","F",2
199161,0,249000,"Master","M",4
181104,1,150000,"Bachelor","M",3
79920,0,227000,"Master","M",6
145230,0,317000,"PhD","F",8
38122,0,250000,"PhD","M",6
171180,1,182000,"Bachelor","F",6
150051,0,145000,"Bachelor","F",2
58859,1,139000,"Bachelor","M",4
114240,0,71000,"Bachelor","F",5
118618,0,254000,"PhD","M",6
73837,0,308000,"Bachelor","M",3
183563,0,177000,"High_School","M",3
99385,0,158000,"Bachelor","M",4
19562,0,101000,"Master","F",4
152026,0,330000,"High_School","M",5
144869,0,319000,"High_School","M",4
129734,0,288000,"PhD","M",3
172510,1,169000,"Master","M",3
93159,1,186000,"High_School","M",1
171869,1,193000,"PhD","M",1
103568,0,125000,"Bachelor","F",3
141415,0,241000,"Master","M",2
45828,0,125000,"Bachelor","M",5
42669,0,157000,"PhD","M",1
145951,1,162000,"PhD","M",2
118983,0,157000,"High_School","M",4
3912,0,91000,"Master","M",2
88812,0,257000,"PhD","M",6
38747,0,2e+05,"Master","M",5
32197,0,183000,"Master","M",8
111865,0,62000,"Master","M",2
78441,1,169000,"PhD","M",5
93860,0,210000,"Master","M",2
107842,0,363000,"High_School","M",2
109848,0,374000,"High_School","M",5
29525,0,78000,"High_School","F",6
153224,0,367000,"Bachelor","M",1
32006,1,192000,"Master","M",6
108286,1,136000,"High_School","F",1
19424,0,318000,"PhD","M",4
13374,1,252000,"Bachelor","M",3
184671,0,346000,"Bachelor","F",1
25987,0,214000,"High_School","M",1
75630,0,90000,"Bachelor","F",3
16972,1,144000,"Bachelor","F",5
100363,0,138000,"PhD","M",4
72811,0,259000,"Master","F",2
149850,0,228000,"Master","M",5
169428,0,206000,"High_School","M",1
105240,0,225000,"Master","M",5
141343,0,237000,"Bachelor","M",8
91210,0,71000,"Bachelor","M",7
2644,0,79000,"PhD","M",2
187979,0,90000,"Bachelor","F",3
115133,1,237000,"Bachelor","M",4
168942,0,69000,"PhD","M",2
76760,0,67000,"Bachelor","F",6
127964,0,202000,"Bachelor","M",5
180356,0,150000,"Bachelor","M",5
120076,0,281000,"High_School","M",1
126257,0,251000,"Bachelor","M",12
56914,1,170000,"PhD","F",3
183752,0,335000,"PhD","F",4
177240,1,62000,"High_School","M",6
156060,1,88000,"PhD","F",2
159620,1,214000,"PhD","M",5
76600,0,304000,"Master","M",5
156036,0,242000,"PhD","M",13
196280,1,261000,"Bachelor","F",3
105927,0,66000,"Master","F",4
162143,0,67000,"Master","M",2
66119,0,291000,"PhD","F",21
167377,0,220000,"Master","M",1
188144,0,78000,"Master","M",1
166758,0,128000,"Master","M",3
145745,0,155000,"PhD","M",2
164897,1,259000,"PhD","M",3
36929,0,339000,"Master","M",2
24261,0,113000,"High_School","M",3
99072,0,240000,"High_School","M",5
150244,0,230000,"Master","F",6
94611,0,206000,"Master","M",9
128030,0,329000,"Master","M",2
125164,0,209000,"Master","M",3
14081,0,162000,"PhD","F",4
146932,0,237000,"Master","M",3
127075,0,67000,"Master","M",3
179417,0,145000,"PhD","M",6
188415,1,134000,"Bachelor","F",5
9948,1,220000,"PhD","M",1
42756,0,135000,"Bachelor","M",4
173182,0,179000,"Bachelor","F",5
117973,0,83000,"Master","F",1
44930,1,185000,"PhD","M",3
48971,0,64000,"Bachelor","F",3
193227,0,202000,"Bachelor","M",6
164635,0,2e+05,"Master","M",5
143414,0,281000,"Master","F",3
108296,0,194000,"Master","F",1
74791,0,255000,"PhD","F",6
139846,1,326000,"Master","M",3
183445,0,103000,"Bachelor","M",1
40237,0,241000,"PhD","M",2
158609,0,132000,"Bachelor","M",5
8663,0,259000,"Master","M",4
35029,0,204000,"Bachelor","M",6
16178,1,122000,"Bachelor","M",8
42644,0,347000,"Master","F",4
108055,1,241000,"Bachelor","M",2
152807,0,374000,"PhD","F",2
99200,0,134000,"High_School","F",2
