employee_id,signing_bonus,salary,degree_level,sex,yrs_experience,boss_id,dept,level,n_subordinates
187053,0,97.0,Master,M,5,194121,engineering,MM,13
142391,1,86.0,Bachelor,M,3,53677,HR,IC,0
56162,0,60.0,High_School,F,1,21086,HR,IC,0
196011,1,165.0,Bachelor,M,2,189222,engineering,IC,0
179787,1,125.0,Master,M,4,18939,sales,IC,0
172787,0,141.0,PhD,M,7,78215,sales,IC,0
57693,1,317.0,PhD,M,3,69728,engineering,D,33
7227,0,192.0,Bachelor,M,9,90237,sales,IC,0
33814,0,95.0,PhD,M,16,190801,engineering,D,62
48247,0,98.0,High_School,F,1,81421,HR,IC,0
185330,1,320.0,PhD,M,3,144928,sales,IC,0
45652,0,128.0,Bachelor,F,1,190566,marketing,IC,0
112245,1,274.0,PhD,F,9,47755,sales,MM,11
55269,0,99.0,Bachelor,M,2,109254,sales,IC,0
95838,0,64.0,Bachelor,F,7,10786,HR,IC,0
8711,0,250.0,PhD,M,10,24489,marketing,MM,22
21150,1,184.0,Master,F,3,29960,marketing,IC,0
65584,0,152.0,High_School,M,5,19424,engineering,IC,0
178821,0,174.0,PhD,M,7,50761,marketing,IC,0
198314,0,62.0,Bachelor,M,2,9239,sales,IC,0
89494,1,228.0,Master,F,4,186086,engineering,IC,0
76056,1,212.0,PhD,M,7,112245,sales,IC,0
174654,0,94.0,PhD,F,5,56316,sales,IC,0
6417,0,88.0,Bachelor,M,2,67522,sales,IC,0
149135,0,91.0,Bachelor,M,8,119481,engineering,MM,19
120912,0,95.0,High_School,M,6,51923,HR,IC,0
14736,0,95.0,PhD,M,3,172948,HR,IC,0
53438,1,279.0,PhD,M,5,74264,marketing,IC,0
142155,0,366.0,PhD,M,1,128511,engineering,IC,0
1791,0,95.0,Bachelor,F,10,99397,HR,MM,7
56244,0,86.0,PhD,F,6,167188,HR,IC,0
87999,0,362.0,High_School,M,1,167877,sales,IC,0
9036,1,283.0,Bachelor,M,1,198531,sales,IC,0
34510,0,232.0,PhD,M,4,32572,marketing,IC,0
175786,0,66.0,PhD,F,7,181781,HR,IC,0
148355,0,198.0,Master,F,2,63077,sales,IC,0
120086,0,262.0,High_School,M,3,134048,sales,IC,0
112523,0,82.0,PhD,F,2,754,HR,IC,0
43986,0,66.0,Master,F,5,184885,HR,IC,0
128528,0,83.0,PhD,F,1,742,HR,IC,0
148564,0,316.0,Bachelor,M,3,66306,engineering,IC,0
68881,0,69.0,Master,F,3,164501,HR,IC,0
98619,1,317.0,PhD,M,3,60489,marketing,IC,0
136229,0,155.0,Bachelor,M,5,181421,sales,IC,0
194889,0,183.0,Bachelor,M,5,167877,sales,IC,0
9059,1,72.0,Bachelor,M,2,79237,marketing,IC,0
73211,1,386.0,PhD,M,7,183045,engineering,IC,0
133465,1,62.0,High_School,M,5,178954,engineering,IC,0
99319,0,217.0,High_School,M,2,12679,sales,IC,0
196484,0,106.0,PhD,M,19,176424,marketing,D,63
26635,0,123.0,Master,M,9,65126,marketing,IC,0
194871,0,192.0,High_School,M,5,149135,engineering,IC,0
134474,0,95.0,PhD,F,8,35499,sales,IC,0
23100,1,136.0,PhD,M,11,132307,engineering,MM,6
19961,1,391.0,High_School,F,2,101901,engineering,IC,0
72338,0,247.0,Master,F,3,132283,engineering,IC,0
194169,1,92.0,Master,M,3,169231,sales,IC,0
47487,1,122.0,PhD,M,2,1610,engineering,IC,0
16959,0,150.0,Bachelor,F,7,160289,sales,IC,0
70361,0,376.0,Master,M,3,113566,engineering,IC,0
97248,0,70.0,High_School,F,4,55636,HR,IC,0
85273,1,159.0,Bachelor,M,2,8711,marketing,IC,0
192719,0,225.0,High_School,M,2,29960,marketing,IC,0
45301,0,224.0,PhD,F,1,11275,marketing,IC,0
1285,0,333.0,Bachelor,M,2,122197,engineering,IC,0
140206,0,265.0,Master,F,6,27704,sales,IC,0
141079,0,283.0,Bachelor,M,14,119481,engineering,MM,13
69274,0,117.0,Bachelor,M,1,73893,sales,IC,0
154782,0,106.0,High_School,M,3,25805,sales,IC,0
7469,1,74.0,High_School,F,1,144928,sales,IC,0
120216,1,249.0,High_School,M,3,127544,sales,IC,0
111447,0,177.0,PhD,M,1,8663,sales,IC,0
103466,1,214.0,Master,M,3,191454,marketing,IC,0
88007,0,275.0,Master,F,13,154897,sales,MM,13
29419,0,168.0,Bachelor,F,1,98520,marketing,IC,0
60609,0,128.0,Bachelor,F,3,94454,sales,MM,6
112433,0,62.0,PhD,F,1,23737,HR,IC,0
126976,0,80.0,PhD,F,2,197896,HR,IC,0
163892,0,121.0,High_School,M,1,132399,sales,IC,0
178923,1,352.0,Master,M,3,141079,engineering,IC,0
104966,1,292.0,PhD,M,4,148236,sales,IC,0
93962,1,175.0,Bachelor,M,7,87330,engineering,IC,0
147679,0,194.0,High_School,M,4,73982,sales,IC,0
81577,0,146.0,Master,F,2,191649,sales,IC,0
136040,0,167.0,Master,F,4,93223,engineering,IC,0
193600,1,80.0,PhD,F,6,23737,HR,IC,0
189420,0,317.0,PhD,M,2,69200,sales,IC,0
17670,1,303.0,High_School,F,4,29547,engineering,IC,0
165978,1,261.0,High_School,M,5,73489,sales,IC,0
102210,0,163.0,Bachelor,M,1,8182,sales,IC,0
113028,0,87.0,High_School,F,4,172541,HR,IC,0
77923,0,70.0,Master,F,7,183283,HR,IC,0
142275,0,349.0,PhD,F,4,51288,engineering,IC,0
195540,0,205.0,Master,M,4,147106,sales,IC,0
68486,0,87.0,Master,F,5,172541,HR,IC,0
41080,0,115.0,Master,F,11,77851,sales,MM,8
88335,0,149.0,Bachelor,M,1,65883,marketing,IC,0
61136,0,226.0,High_School,F,6,112643,sales,IC,0
175361,0,234.0,Bachelor,M,14,100942,sales,MM,17
59052,0,79.0,PhD,F,3,29733,HR,IC,0
173017,0,116.0,High_School,M,4,164501,HR,IC,0
112097,0,83.0,Master,F,1,4384,HR,IC,0
152964,0,133.0,PhD,M,3,29712,engineering,IC,0
93073,1,215.0,High_School,M,6,107547,sales,IC,0
82835,0,184.0,Master,M,1,96420,sales,IC,0
190004,1,322.0,PhD,F,1,196660,sales,IC,0
35114,0,68.0,Master,M,6,92585,marketing,IC,0
153735,1,262.0,Bachelor,M,3,76073,engineering,IC,0
80661,0,177.0,High_School,F,2,170431,marketing,IC,0
125799,1,386.0,Bachelor,M,4,132683,engineering,IC,0
78200,0,79.0,High_School,F,7,39460,HR,IC,0
172717,0,70.0,High_School,F,11,41533,HR,MM,7
123040,1,174.0,Master,M,1,110091,engineering,IC,0
178134,1,284.0,Master,F,1,55858,engineering,IC,0
182996,0,307.0,Master,M,4,32510,sales,MM,13
124589,0,61.0,High_School,F,2,126515,HR,IC,0
104569,1,251.0,High_School,M,2,134048,sales,IC,0
172566,0,61.0,High_School,F,4,31063,HR,IC,0
5743,0,111.0,PhD,M,12,49727,sales,MM,17
74062,1,397.0,PhD,M,33,110464,marketing,VP,308
23759,0,93.0,Bachelor,F,3,92210,sales,IC,0
98855,1,342.0,Bachelor,M,3,177166,engineering,IC,0
56376,1,358.0,PhD,M,2,67522,sales,IC,0
8288,1,243.0,Master,F,1,26468,engineering,IC,0
85717,0,92.0,Bachelor,F,8,47127,sales,MM,8
61234,0,70.0,Master,M,2,15768,HR,IC,0
102684,0,86.0,Master,F,2,92713,sales,MM,7
156075,1,253.0,Master,M,3,176415,engineering,IC,0
160618,0,161.0,PhD,M,6,83356,sales,MM,19
22316,1,156.0,Master,M,5,166729,marketing,IC,0
126031,0,265.0,Bachelor,M,2,70406,marketing,IC,0
127788,0,227.0,High_School,M,6,186283,engineering,IC,0
153290,0,234.0,PhD,M,1,102815,sales,IC,0
128120,0,123.0,High_School,M,1,100373,HR,IC,0
137270,0,87.0,Master,M,4,180006,HR,IC,0
123270,0,264.0,Bachelor,M,3,147642,sales,IC,0
66090,1,349.0,Master,M,20,34280,sales,D,35
135015,0,83.0,Bachelor,F,8,171499,engineering,IC,0
12028,1,225.0,Bachelor,M,1,87613,engineering,IC,0
121294,0,126.0,Master,F,3,77844,sales,IC,0
46026,1,103.0,Bachelor,F,3,125114,HR,IC,0
78743,0,203.0,High_School,M,2,4421,sales,IC,0
162877,0,126.0,Master,M,6,199282,marketing,IC,0
173465,0,63.0,Bachelor,F,1,175548,HR,IC,0
55493,0,251.0,Master,M,4,102815,sales,IC,0
52651,1,143.0,PhD,F,1,128511,engineering,IC,0
173786,1,188.0,Bachelor,F,2,12679,sales,IC,0
11627,0,141.0,High_School,M,8,147783,sales,IC,0
80889,0,90.0,Bachelor,F,5,165442,sales,IC,0
159070,0,66.0,PhD,F,2,189742,HR,IC,0
72655,0,202.0,Master,M,2,78874,sales,IC,0
120750,0,164.0,Master,M,1,167877,sales,IC,0
79637,0,91.0,Bachelor,M,7,51923,HR,IC,0
32193,1,177.0,PhD,M,4,12877,engineering,IC,0
134874,0,136.0,Bachelor,M,4,91124,sales,IC,0
139720,0,116.0,PhD,M,4,74264,marketing,IC,0
144872,0,117.0,Master,M,6,183283,HR,IC,0
108164,1,236.0,PhD,M,4,32510,sales,MM,14
41811,0,251.0,Bachelor,M,2,116119,marketing,IC,0
94871,1,185.0,PhD,M,4,160476,sales,IC,0
51549,1,175.0,Bachelor,M,6,199184,sales,IC,0
161037,0,70.0,Master,F,9,174009,HR,IC,0
163049,0,260.0,Bachelor,F,13,56068,sales,D,37
177283,0,102.0,Bachelor,F,1,160289,sales,IC,0
21566,1,204.0,PhD,M,3,41080,sales,IC,0
34520,0,219.0,Master,F,3,16073,marketing,IC,0
66792,0,287.0,Bachelor,F,2,52525,engineering,IC,0
109934,0,141.0,Master,F,2,180924,marketing,IC,0
5448,1,171.0,PhD,M,1,130585,sales,IC,0
34837,0,311.0,Bachelor,M,3,21470,marketing,IC,0
3157,1,154.0,PhD,F,1,98520,marketing,IC,0
2112,1,332.0,Bachelor,M,2,78516,sales,IC,0
149037,0,72.0,PhD,M,1,11507,HR,IC,0
195820,0,194.0,High_School,M,5,186086,engineering,IC,0
51827,0,228.0,PhD,F,1,16510,sales,IC,0
163751,0,221.0,Bachelor,F,3,57316,sales,IC,0
168564,0,160.0,PhD,M,9,8665,sales,MM,14
188215,0,132.0,Bachelor,M,4,77556,HR,IC,0
3802,1,122.0,PhD,F,15,133795,engineering,D,44
131620,1,236.0,Master,M,9,40475,sales,MM,9
180925,1,255.0,Bachelor,M,9,141808,sales,MM,12
77311,1,267.0,Master,M,3,168342,engineering,IC,0
144949,1,238.0,Bachelor,F,1,47618,marketing,IC,0
21387,0,248.0,Master,M,3,168905,engineering,IC,0
90566,0,190.0,PhD,F,4,66591,sales,IC,0
26839,1,223.0,Bachelor,M,2,181787,marketing,IC,0
19746,0,170.0,PhD,F,4,76135,marketing,IC,0
50427,1,182.0,PhD,M,1,132283,engineering,IC,0
81853,0,77.0,Bachelor,F,3,61517,HR,IC,0
56110,1,360.0,Master,M,2,30640,engineering,IC,0
173360,0,295.0,Bachelor,M,6,81811,sales,IC,0
94392,0,394.0,Master,M,3,39417,engineering,IC,0
133570,0,260.0,Bachelor,F,3,147249,engineering,IC,0
136398,0,61.0,Master,F,3,180006,HR,IC,0
55476,1,76.0,Bachelor,M,11,82419,marketing,MM,8
176610,0,92.0,PhD,F,4,142276,HR,IC,0
55160,1,260.0,Master,F,2,27781,marketing,IC,0
144675,0,262.0,Bachelor,M,1,181219,marketing,IC,0
91088,1,185.0,Master,M,3,193518,sales,IC,0
106770,0,181.0,Master,M,2,156927,marketing,IC,0
169231,0,162.0,PhD,M,5,164851,sales,MM,10
25934,1,282.0,Bachelor,M,2,154285,engineering,MM,12
157239,0,322.0,PhD,F,4,180854,sales,IC,0
16619,0,178.0,Bachelor,M,3,57316,sales,IC,0
13924,0,86.0,High_School,F,1,64087,HR,IC,0
161070,1,154.0,High_School,M,1,90237,sales,IC,0
121293,1,201.0,Bachelor,M,1,167389,sales,IC,0
45128,1,220.0,Master,F,1,89837,marketing,IC,0
160557,0,219.0,Bachelor,M,2,69345,sales,IC,0
7118,0,244.0,Master,M,2,95169,sales,IC,0
120037,0,160.0,Master,M,2,38308,marketing,IC,0
71532,0,252.0,PhD,M,6,109308,marketing,D,56
158723,0,134.0,PhD,F,1,180037,sales,IC,0
6670,1,376.0,Bachelor,F,1,67931,engineering,IC,0
43386,1,241.0,PhD,M,4,113189,sales,IC,0
98047,0,93.0,High_School,M,5,178314,marketing,IC,0
100144,0,160.0,Master,M,2,94611,engineering,IC,0
104432,0,242.0,High_School,F,1,144401,sales,IC,0
164347,1,297.0,Master,M,4,153551,sales,IC,0
81227,0,93.0,PhD,M,3,29733,HR,IC,0
187469,0,145.0,Bachelor,M,5,152960,sales,IC,0
100883,0,225.0,Bachelor,F,3,180037,sales,IC,0
86703,0,122.0,Master,M,2,158888,sales,IC,0
81363,0,208.0,Bachelor,M,3,4440,marketing,IC,0
99414,0,162.0,Bachelor,M,1,181219,marketing,IC,0
92314,1,98.0,Bachelor,F,3,80043,HR,IC,0
163884,0,232.0,Bachelor,F,1,12679,sales,IC,0
87379,0,174.0,Bachelor,M,19,176367,engineering,D,39
46653,1,343.0,PhD,M,4,34134,sales,IC,0
5282,0,267.0,Bachelor,M,5,32248,sales,MM,17
40494,0,107.0,PhD,F,2,150189,HR,IC,0
191083,1,68.0,PhD,M,4,37154,marketing,MM,10
27731,0,321.0,Bachelor,M,3,73034,engineering,IC,0
198910,0,376.0,Master,M,2,82698,sales,IC,0
65522,0,204.0,Master,M,4,34051,sales,D,41
114858,1,278.0,PhD,M,9,189222,engineering,IC,0
10492,0,199.0,Bachelor,M,2,198531,sales,IC,0
118909,0,165.0,PhD,M,3,5374,sales,IC,0
159906,0,105.0,Bachelor,M,2,65174,sales,MM,14
117052,0,337.0,Bachelor,F,3,48742,engineering,IC,0
35357,0,231.0,Master,M,8,81811,sales,IC,0
27293,0,169.0,Bachelor,M,4,56451,sales,IC,0
145164,0,292.0,PhD,M,3,19424,engineering,IC,0
175253,0,192.0,Master,M,5,148260,marketing,IC,0
144365,1,243.0,PhD,M,2,41335,engineering,IC,0
43243,0,261.0,Master,F,1,193763,engineering,IC,0
51121,0,110.0,High_School,F,5,59566,HR,MM,22
4264,0,200.0,Master,F,1,82463,marketing,IC,0
165620,0,240.0,Master,M,2,55481,engineering,IC,0
197158,0,88.0,Master,F,3,175548,HR,IC,0
16708,0,155.0,PhD,M,3,33266,marketing,IC,0
18676,0,277.0,Bachelor,M,1,147642,sales,IC,0
66023,1,361.0,Bachelor,M,1,102102,sales,IC,0
174580,1,120.0,PhD,M,3,194078,marketing,IC,0
134816,0,148.0,High_School,F,1,52796,sales,IC,0
37407,0,387.0,High_School,M,2,7255,engineering,IC,0
177876,0,164.0,Bachelor,M,4,175558,engineering,IC,0
174478,0,182.0,PhD,F,6,64452,sales,IC,0
104365,1,216.0,PhD,M,3,141079,engineering,IC,0
137130,0,268.0,High_School,M,2,198531,sales,IC,0
111821,0,290.0,High_School,M,2,189038,engineering,IC,0
113231,0,65.0,Bachelor,M,5,11275,marketing,IC,0
181772,1,99.0,Bachelor,M,9,54963,sales,MM,13
186649,0,180.0,Bachelor,M,2,126330,engineering,IC,0
69382,1,232.0,High_School,M,4,111082,sales,IC,0
67522,0,124.0,Master,M,5,141808,sales,MM,14
46107,0,179.0,Bachelor,M,4,73846,sales,IC,0
40213,0,163.0,Bachelor,M,4,27393,sales,IC,0
18489,0,226.0,Bachelor,M,5,82657,sales,IC,0
101777,1,61.0,PhD,F,1,31063,HR,IC,0
107224,0,95.0,Bachelor,F,4,123502,HR,IC,0
134582,1,345.0,Master,M,4,145710,engineering,IC,0
81226,0,76.0,Master,M,1,22887,HR,IC,0
178457,0,299.0,PhD,F,5,143317,sales,IC,0
173673,1,93.0,Master,M,4,98520,marketing,IC,0
174959,1,242.0,Bachelor,F,1,113245,sales,IC,0
70399,1,112.0,Master,F,1,181781,HR,IC,0
67748,0,328.0,High_School,M,6,144976,sales,IC,0
180478,0,371.0,High_School,M,1,149135,engineering,IC,0
125339,0,212.0,Master,F,4,111508,marketing,IC,0
147776,0,355.0,Bachelor,M,4,79735,engineering,IC,0
173085,0,347.0,Bachelor,F,4,101484,engineering,IC,0
182765,0,365.0,PhD,M,3,148260,marketing,IC,0
27285,1,260.0,Master,F,5,152791,sales,IC,0
65379,1,67.0,PhD,M,5,180854,sales,IC,0
56198,1,228.0,PhD,M,2,132360,sales,IC,0
115176,1,101.0,Master,F,2,177805,marketing,IC,0
27718,0,78.0,Master,F,3,89619,HR,MM,6
191778,0,201.0,Bachelor,F,8,155437,engineering,IC,0
196043,0,173.0,PhD,F,5,148032,sales,IC,0
169319,0,83.0,Bachelor,M,1,183283,HR,IC,0
185639,1,276.0,Master,M,1,92765,engineering,IC,0
30040,1,99.0,Master,F,2,189148,HR,IC,0
167986,0,164.0,Bachelor,M,4,109254,sales,IC,0
133424,1,136.0,Bachelor,M,4,95609,sales,IC,0
13959,0,129.0,Master,F,5,102498,HR,IC,0
165794,1,69.0,Bachelor,F,5,47260,HR,IC,0
110529,0,166.0,Master,F,4,48742,engineering,IC,0
143888,0,88.0,Bachelor,M,5,67178,HR,IC,0
175358,0,133.0,Master,M,3,198531,sales,IC,0
57920,1,103.0,Bachelor,F,2,115349,sales,IC,0
173458,1,287.0,PhD,M,4,1872,engineering,IC,0
142745,0,93.0,High_School,F,1,1791,HR,IC,0
65782,0,142.0,PhD,M,5,5282,sales,IC,0
36498,0,377.0,High_School,M,3,79807,engineering,IC,0
151070,0,90.0,Bachelor,M,3,159638,HR,IC,0
176900,0,253.0,PhD,M,5,162196,engineering,IC,0
4781,0,159.0,High_School,F,2,149696,sales,IC,0
166653,0,209.0,Bachelor,F,3,146629,engineering,MM,4
146858,1,202.0,PhD,F,1,126257,engineering,IC,0
26109,1,140.0,Bachelor,M,1,145126,sales,IC,0
75374,1,301.0,PhD,F,6,160618,sales,IC,0
92990,1,274.0,Bachelor,M,5,87929,sales,IC,0
34525,0,84.0,PhD,M,6,168942,HR,IC,0
79698,0,114.0,Bachelor,F,1,190778,marketing,IC,0
181041,0,65.0,Bachelor,F,4,103884,HR,IC,0
80762,0,269.0,Master,F,2,26757,marketing,IC,0
46456,0,213.0,Bachelor,M,5,175361,sales,IC,0
8263,0,388.0,PhD,M,7,150300,marketing,IC,0
77946,1,314.0,PhD,M,2,101819,engineering,IC,0
173255,0,75.0,Master,F,8,184885,HR,IC,0
144110,0,83.0,Master,M,3,129734,engineering,IC,0
28167,1,67.0,PhD,M,4,191083,marketing,IC,0
17790,1,138.0,High_School,M,5,147715,sales,IC,0
124893,0,287.0,PhD,M,18,149778,marketing,D,58
181421,0,304.0,Master,M,5,107049,sales,MM,9
129879,0,154.0,High_School,M,3,40904,engineering,IC,0
171266,0,153.0,Master,M,8,71889,HR,D,79
182627,0,324.0,Master,M,2,147819,sales,IC,0
58658,0,165.0,High_School,M,4,1050,engineering,IC,0
33069,0,178.0,Master,M,4,114572,marketing,IC,0
79524,0,160.0,High_School,F,1,195165,engineering,IC,0
120274,0,146.0,Master,F,2,26505,marketing,IC,0
134728,1,188.0,PhD,M,10,114137,marketing,MM,10
177705,0,248.0,Master,M,5,181421,sales,IC,0
51802,0,213.0,Master,F,3,168797,marketing,IC,0
97859,0,207.0,PhD,M,6,48120,engineering,IC,0
125642,1,151.0,Bachelor,M,7,186086,engineering,IC,0
129565,0,206.0,PhD,F,2,147103,engineering,IC,0
107509,0,148.0,High_School,M,5,168791,engineering,IC,0
17395,0,213.0,Master,M,21,96752,sales,D,40
39491,0,304.0,High_School,M,4,151005,marketing,IC,0
90834,0,293.0,Master,F,13,157492,sales,MM,13
51571,0,171.0,Master,F,7,4110,sales,IC,0
98550,0,221.0,Bachelor,M,1,168564,sales,IC,0
149430,1,132.0,Bachelor,M,4,48690,sales,IC,0
70563,1,80.0,PhD,M,5,54997,sales,IC,0
149745,0,104.0,PhD,F,3,189627,sales,IC,0
134038,1,151.0,High_School,M,3,51288,engineering,IC,0
190330,0,250.0,Master,M,3,172246,sales,IC,0
192377,1,372.0,PhD,M,3,198778,engineering,IC,0
15070,0,243.0,Master,M,4,159906,sales,IC,0
129120,1,96.0,Bachelor,M,3,155437,engineering,IC,0
79573,1,79.0,PhD,M,5,80043,HR,IC,0
13470,1,364.0,Bachelor,M,7,101819,engineering,IC,0
196058,0,149.0,Master,M,13,5692,marketing,MM,12
177166,0,168.0,Bachelor,M,3,192589,engineering,MM,13
173884,0,329.0,PhD,F,2,103421,engineering,IC,0
132810,0,162.0,Bachelor,M,4,158056,engineering,IC,0
111667,0,251.0,Master,M,6,167921,engineering,IC,0
71615,0,85.0,Master,M,4,190060,sales,IC,0
127089,1,254.0,PhD,M,3,151005,marketing,IC,0
98931,1,259.0,High_School,F,5,103443,marketing,MM,10
159599,0,113.0,Bachelor,F,3,34134,sales,IC,0
134457,1,209.0,Master,M,4,84230,marketing,IC,0
29536,0,63.0,High_School,F,5,94447,HR,IC,0
90188,0,70.0,Bachelor,M,4,123154,HR,IC,0
168861,0,241.0,High_School,M,5,154170,engineering,IC,0
24655,0,233.0,PhD,F,2,64190,sales,IC,0
95038,1,270.0,High_School,M,7,110091,engineering,IC,0
189119,0,64.0,Master,F,6,87929,sales,IC,0
52681,0,311.0,High_School,M,2,150408,engineering,IC,0
73434,0,257.0,High_School,F,2,60489,marketing,IC,0
13651,1,396.0,High_School,F,4,64750,engineering,IC,0
157064,0,75.0,Master,M,3,125912,marketing,MM,18
127544,0,231.0,PhD,M,5,65451,sales,MM,13
196379,1,215.0,Master,M,1,55883,engineering,IC,0
199323,1,278.0,High_School,M,3,45803,sales,IC,0
187995,0,319.0,Bachelor,M,3,116289,engineering,IC,0
106442,0,216.0,Master,M,2,59555,marketing,IC,0
103923,0,153.0,Bachelor,M,5,126257,engineering,IC,0
199014,1,163.0,High_School,M,1,80128,sales,IC,0
47123,0,90.0,Master,M,3,135848,marketing,IC,0
1811,0,99.0,Master,M,7,16445,HR,IC,0
98385,0,97.0,PhD,F,6,151696,HR,IC,0
48730,0,212.0,PhD,M,8,181566,marketing,MM,8
140284,1,72.0,High_School,F,5,62161,marketing,IC,0
100411,1,239.0,Bachelor,M,3,98520,marketing,IC,0
123696,1,167.0,PhD,F,7,143050,marketing,IC,0
2843,0,63.0,PhD,F,2,8812,HR,IC,0
43627,0,322.0,Bachelor,M,1,182028,engineering,IC,0
73084,0,115.0,Bachelor,F,1,130342,HR,IC,0
166458,1,90.0,PhD,F,6,57185,engineering,IC,0
56861,0,73.0,PhD,M,6,1791,HR,IC,0
118518,0,68.0,High_School,F,4,178147,HR,IC,0
116797,0,129.0,High_School,F,2,62161,marketing,IC,0
21086,0,79.0,Master,M,4,24015,HR,MM,15
114505,0,212.0,High_School,M,4,51738,engineering,IC,0
142104,1,383.0,Master,F,8,47553,engineering,MM,9
23438,0,267.0,High_School,F,3,116119,marketing,IC,0
157592,0,104.0,PhD,F,2,71987,HR,IC,0
3793,1,225.0,Master,M,6,197832,marketing,IC,0
161265,0,139.0,High_School,M,8,191073,sales,IC,0
82228,1,72.0,Bachelor,M,2,79237,marketing,IC,0
194796,0,128.0,Master,M,2,8198,engineering,IC,0
60130,0,207.0,Bachelor,M,3,73846,sales,IC,0
53389,1,124.0,Bachelor,M,2,196058,marketing,IC,0
134630,0,196.0,Master,M,4,144976,sales,IC,0
144335,0,81.0,PhD,M,2,147783,sales,IC,0
114216,0,65.0,Bachelor,M,7,198624,HR,IC,0
6880,1,121.0,PhD,M,7,170076,engineering,IC,0
133762,0,81.0,PhD,F,6,72965,sales,IC,0
99282,0,193.0,Master,M,3,73893,sales,IC,0
71923,1,333.0,Bachelor,M,6,114011,engineering,IC,0
11724,0,295.0,Bachelor,M,2,115349,sales,IC,0
76588,0,116.0,Bachelor,F,1,29712,engineering,IC,0
149858,0,287.0,Master,F,2,48120,engineering,IC,0
102768,1,266.0,Bachelor,M,2,161727,engineering,IC,0
